Headers,Chunk
Немного истории и основные факты,"Wildberries — крупнейший онлайн-ретейлер в России и СНГ. Название маркетплейса переводится как «дикие ягоды». Основатели компании, Татьяна и Владислав Бакальчук, начали бизнес в 2004 году с небольшого магазина детской одежды. Они сделали ставку на сервис и разнообразие, предложили покупателям удобные условия и высокий уровень обслуживания.  Стратегия оправдала себя: сегодня на Wildberries представлено около 600 000 брендов от более чем 1 млн продавцов. На складах компании хранится в среднем около 470 млн товаров, а совокупная площадь складских помещений составляет более 2,8 млн м².  Первый пункт выдачи заказов (ПВЗ) открылся в 2010 году в Москве, а после пункты стали появляться и в других городах: к 2012 году сеть насчитывала уже 134 точки. Компания продолжает расти и развиваться. Теперь ПВЗ Wildberries есть в Беларуси, Казахстане, Кыргызстане, Армении, Израиле, Молдове, Турции, Узбекистане и Азербайджане. Сейчас у компании больше 30 000 пунктов выдачи в России и за её пределами.  Ещё немного цифр:  - Каждый день на Wildberries оформляют 7 млн заказов. - Ежедневно больше 10 млн товаров отправляются в пункты выдачи. - 80% заказов доставляют уже на следующий день. - Больше 90% пользователей — постоянные покупатели Wildberries."
Миссия и ценности,"Миссия Wildberries — сделать шопинг удобным и доступным для каждого.  Основные ценности компании: клиентоориентированность, ответственность, открытость новому и стремление к успеху.  Wildberries создает комфортную среду для работы и развития: у наших менеджеров есть доступ к обучающим программам, тренингам и другим инструментам для профессионального роста.  Для нас каждый менеджер пункта выдачи — не просто исполнитель, а полноценный управляющий. Мы ценим и поощряем предпринимательский подход к работе, даём возможность принимать важные решения, влиять на процессы и создавать положительный опыт для покупателей."
Термины и аббревиатуры,"Команда Wildberries использует много терминов и аббревиатур. Разберём основные из них, чтобы вам было проще общаться с коллегами и покупателями:  — ТП — торговая площадка. В нашем случае — платформа (маркетплейс) Wildberries.  — ПВЗ — пункт выдачи заказов. Это место, куда покупатели приходят за посылками. Сейчас у нас больше 28 тысяч пунктов по всей России и за пределами страны.  — ШК офиса (ПВЗ) — уникальный штрихкод, который даёт доступ к рабочему интерфейсу NPOS. Его можно посмотреть на ресепшене ПВЗ или уточнить у руководителя. Формат кода: OFFC000000000.  — ID (айди) офиса (ПВЗ) — номер пункта выдачи в системе Wildberries. ID офиса можно посмотреть в левом верхнем углу рабочего интерфейса в программе NPOS. Идентификационный номер помогает быстро и точно определить местоположение ПВЗ. Не забывайте указывать ID офиса, когда будете составлять обращения.  — ID (айди) менеджера — номер вашей учетной записи в системе Wildberries. ID менеджера можно посмотреть в левом верхнем углу рабочего интерфейса, рядом с вашим именем. Не забывайте указывать ID менеджера, когда будете составлять обращения.  — ШК — штрихкод. Он есть на упаковке каждого товара и на приходных коробках. По штрихкоду можно узнать содержимое посылки, адрес отправителя и получателя.  — Стикер — так же, как и штрихкод, помогает узнать информацию о заказе, но с его помощью нельзя искать товар в рабочей системе.  — Баркод — это штрихкод производителя на бирке или упаковке товара. По баркоду можно сверять данные о товаре с информацией, указанной в программе: размер, цвет, бренд и другие характеристики.  — QR-код — это двумерный штрихкод с информацией. QR-код можно расшифровать с помощью сканера или камеры смартфона.  — Волна или волнорез — стеллаж, где хранятся товары.  — Приходная коробка — упаковка, в которой заказы приходят в пункт выдачи. На такой коробке всегда есть QR-код с номером коробки, номером пути и адресом ПВЗ. Обязательно сверяйте адрес, зашифрованный в QR-коде, с фактическим адресом пункта выдачи.  — Невостребованный товар — это товар, который покупатель по какой-то причине не забрал из ПВЗ в течение 12 дней.  — Возвратная коробка — упаковка, в которой невостребованные товары отправляют обратно на склад. Возвратные коробки могут быть разных размеров и форм — все зависит от типа и количества товара.  — Возвратная наклейка — элемент упаковки со штрихкодом и номером коробки. Эти наклейки нужны для того, чтобы возвраты не потерялись в пути.  — Сейф-пакет — специальная упаковка для ювелирных изделий и дорогих гаджетов. Сейф-пакет защищает от кражи и повреждений. На каждом изделии должна быть пломба и бирка с информацией о товаре."
В каких программах мы работаем?. NPOS: npos.wildberries.ru,"NPOS — основной рабочий инструмент для менеджеров ПВЗ. С помощью этой программы вы сможете:  - искать информацию о товаре, - принимать товар, - выдавать заказы, - принимать возвраты от покупателей, - отправлять товары на склад (если срок хранения истек), - проводить платежи, - проводить инвентаризацию, - работать с недостачами."
В каких программах мы работаем?. OFFLINE,"OFFLINE-вспомогательная программа, которая может работать без доступа к интернету. OFFLINE нужно использовать в случае, когда NPOS не работает. Например, если в ПВЗ отключили свет. Как только работу NPOS восстановят, данные из OFFLINE автоматически загрузятся в основную систему. Доступ к OFFLINE есть только из внутренней сети Wildberries."
В каких программах мы работаем?. WB Team,"Приложение для команды Wildberries, WB Team, в котором вы можете:  - читать новости компании, - узнавать о корпоративных скидках, - заказывать справки и документы, - смотреть вакансии в Wildberries, - принимать участие в конкурсах с призами, - проходить опросы и делиться мнением.  -"
Экстренные ситуации. Общие рекомендации,"Сохраняйте спокойствие в случае непредвиденной ситуации.Постарайтесь не нервничать и сконцентрироваться. Свяжитесь с руководителем. Как можно скорее сообщите о проблеме. Объясните, что случилось. Чётко и понятно передайте суть проблемы."
Экстренные ситуации. Пожар,"Если в пункте пожар, звоните по телефонам 01, 101 или 112. - Выведите людей и покиньте помещение. - Уведомите руководителя. Сообщите, что в ПВЗ пожар."
Экстренные ситуации. Кража со взломом,"Если ПВЗ взломали, свяжитесь с руководителем, вызовите полицию и не трогайте ничего руками, пока не приедут сотрудники полиции. - Что делать после. Когда полицейские осмотрят место происшествия и снимут отпечатки пальцев, проведите инвентаризацию и отправьте руководителю список украденных вещей, фотографию заявления и талона-уведомления. Передайте паспортные данные юристам, если нужно."
Экстренные ситуации. Проблемы с замком,"Если замок не открывается, свяжитесь с руководителем."
