Question,Chunk,Hard negative
"Что может случиться, если не проверить заказ в программе?","Если менеджер забыл сверить в программе, сколько и каких товаров выдал покупателю, спишется неправильная сумма или покупатель получит не свой заказ",Просите каждого покупателя проверять товары под камерами на столе выдачи и только потом забирать вещи на примерку.
Куда отправлять возвраты?,"Чтобы подготовить возврат к отправке: - Надёжно упакуйте товар, чтобы вещь не повредилась и не потерялась во время транспортировки. - Если упаковка повреждённая или недостаточно ненадёжная, укрепите её скотчем или замените на новую. - Если товар без упаковки, сложите вещь в пакет. Не забудьте про штрихкод: его нужно найти в системе, написать номер на бумаге от руки и приклеить на пакет прозрачным скотчем. Так менеджеры склада смогут идентифицировать вещь. - Перейдите в раздел «Коробки в офисе». - Отсканируйте или введите вручную ШК товара и добавьте его в нужную коробку. - Если нет открытых коробок, переведите раскладку на английский язык и отсканируйте возвратную наклейку или введите вручную буквы TRBX и номер коробки в таком формате: TRBX261484964. - Поместите вещь в возвратную коробку.","Удержание «Неотправленный возврат в коробке на склад». Если вы отправляли товар на склад, но он потерялся в пути, проверьте историю штрихкода и выберите в заявке склад или СЦ, где товар сканировали в последней раз. - Удержание «Подмена товара». Просмотрите историю штрихкода: там будет статус «Неправильное вложение на переупаковке» и название склада или СЦ, где обнаружили подмену — туда нужно будет отправить заявку. - Удержание «Не принятый товар на полку». Если в приходной коробке не оказалось одного из товаров, нужно найти в истории штрихкода последний склад или СЦ, где его сканировали, и отправить туда заявку."
Как правильно оформлять возврат товара без штрих-кода?,"Если принимаете возврат с товаром без наклейки со штрихкодом, напишите номер на бумаге и вложите его в пакет вместе с товаром. Не стоит писать ШК на коробке или баркоде. - Перед тем как отправить возвратную коробку на склад, снимите лишние наклейки: старые ШК коробки и товаров. - Не создавайте в программе виртуальные возвратные коробки с несуществующим товаром: двойным или некорректным ШК.","От неотказного товара надлежащего качества нельзя отказаться после оформления заказа. К таким товарам относятся скоропортящиеся продукты и вещи, которые не подлежат возврату из-за требований безопасности или санитарных стандартов."
Как завершить приемку товара без штрихкода?,"На товаре нет штрихкода при приемке: Способ 1  1. Если на товаре есть баркод, откройте раздел «Движение вещей» 2. Пикните баркод вещи — в программе отобразится приходная коробка и штрихкод товара  Способ 2  1. Запишите данные коробки, в которой был товар 2. Когда завершите приёмку, создайте обращение 3. Укажите номер коробки и баркод вещи — КЦ пришлют правильный штрихкод  Способ 3  1. После того как приняли и разложили все товары, откройте раздел «Движение вещей» 2. Выберите нужную дату: в окне отобразится операция «Завершение приёмки коробки» 3. Скопируйте номер из столбца «ШК / Стикер» 4. Перейдите в раздел «История ШК» и вставьте номер в пустое поле 5. Сравните вещь с карточкой товара. Если совпадает, примите товар вручную и напишите ШК на пакете. Если нет, напишите руководителю или в поддержку","Если на приемку пришел бракованный товар: 1. Зайдите во вкладку «Дефекты» 2. Отсканируйте товар — после этого в программе появится отметка о браке 3. Примите товар, как обычно, и положите вещь в ячейку 4. Когда будете выдавать товар, скажите покупателю о браке: он сам решит, будет ли принимать такой заказ"
Какие сканеры у нас в пункте?,В фирменных пунктах выдачи Wildberries используют один из этих сканеров:  - Zebra DS2278 - MERTECH - MINDEO,"Среди обязанностей менеджера — следить за состоянием пункта выдачи, поддерживать помещение в чистоте и пополнять запасы расходников. Ниже вы найдёте список всего необходимого, а ещё рекомендации на случай, если что-то сломалось или повредилось."
Какие товары требуют особой внимательности при приеме?,"Будьте внимательны, когда принимаете технически сложные товары. Всегда делайте это под камерами, чтобы зафиксировать, в каком состоянии вещь приехала в пункт выдачи. Так у вас будет доказательство на случай спорной ситуации. ","Если при возврате нет вшивной бирки: покупателю нужно будет оформить заявку на брак через профиль на Wildberries. Только когда заявку одобрят, вы сможете принять возврат в пункте выдачи. Если покупатель не знает, как оформить заявку, помогите ему. Инструкция есть в разделе “Как создать заявку на возврат в профиле покупателя​”"
Как оформляется возврат товара в системе NPOS/OFFLINE?,"В разделе ""Возврат товара"" NPOS/OFFLINE можно провести возврат, который покупатель решил сделать после того, как забрал заказ из ПВЗ. Чтобы принять возврат: 1. Отсканируйте штрихкод на упаковке. 2. Если штрихкода нет, введите номер покупателя в поисковой строке через «7». 3. Откройте профиль покупателя — в разделе отобразятся его заказы за последние 14 дней. Проставьте галочку в левом столбце в строке товара, который нужно вернуть. 4. Отсканируйте баркод товара. 5. Сверьте марку, модель и размер с описанием в программе и карточкой товара. 6. Проверьте навесную бирку и штрихкод. Если вещь вернут в упаковке с другим ШК, программа посчитает это недостачей. 7. Если все соответствует описанию, нажмите на кнопку «Выполнить возврат» в правом нижнем правом углу. Деньги вернутся в течение 14 рабочих дней — точные сроки зависят от банка.  ","При работе с возвратными коробками нужно: -Держать коробки в зоне видимости камер. Запись с камеры пригодится как доказательство в случае, если возникнет спорная ситуация. Например, нужно будет оспорить недостачу. - Удалять старые наклейки с коробок - Если не получается убрать наклейку, «гасить» старые штрихкоды. Например, закрасить маркером, чтобы код не считывался."
"Куда складываем товары, которые не забрали?","С излишками и невостребованными товарами нужно поступить так же, как с обычными возвратами. Добавьте излишки и невостребованные товары в виртуальную коробку в рабочей программе, упакуйте в картонную коробку и отправьте вместе с остальными возвратами. На складе товары переупакуют и отправят правильный пункт выдачи или вернут продавцу.","Что нужно сделать менеджеру за день? Сверяйтесь с этим чек-листом в течение дня. Советуем приходить хотя бы за 30 минут до смены, чтобы спокойно подготовиться к открытию  1. Осмотрите пункт выдачи:  - Нет следов взлома или протечек - Сообщить руководителю, какие коробки пришли, а какие — нет - Проверить оборудование: всё должно работать  2. Осмотрите стол менеджера:  - На столе чисто: нет мусора и личных вещей - Нет следов скотча и маркера - Есть ножницы, канцелярский нож, маркеры, скотч и возвратные наклейки - Есть пакеты всех 4 размеров: большой, средний, маленький и пакет-майка - Провода лежат аккуратно, не путаются  3. Откройте рабочую программу:  - Убедиться, что интернет работает - Войти в NPOS  Если не знаете пароль от компьютера или WiFi, обратитесь к руководителю  4. Проверьте камеры:  - Видеонаблюдение работает: есть онлайн-трансляция в разделе «Видеонаблюдение» или в программе DMSS - На камерах видно основные зоны: клиентскую и склад  5. Примите товары:  - Проверить, что адрес на коробках совпадает с адресом ПВЗ - Принять и разобрать коробки - Разложить товары из приходных коробок по ячейкам - Вернуться в раздел «Приёмка» и нажать на кнопку «Разбор окончен»  Принимайте и разбирайте коробки только под камерой видеонаблюдения  Нельзя принять больше 10 коробок одновременно. Отсканируйте первые 10 коробок, разберите их, а потом переходите к следующим 10 коробкам  6. Соберите возвраты:  - Создать возвратную коробку - Добавить в коробку отказные и невостребованные товары  7. Напишите руководителю:  - Сообщить, что пункт готов к работе - Рассказать о проблемах, если они есть  8. Откройте пункт и начните выдавать заказы:  - Проверять товар на брак под камерами вместе с покупателем перед примеркой - После примерки проверять, что товар не подменили и не испортили внешний вид - Сверять штрихкоды на пакетах, чтобы не перепутать товары между собой - Если брак есть, сразу отмечать его в программе - Если брак на неотказном или невозвратном товаре, помочь покупателю с заявкой на возврат - Озвучивать покупателю количество товаров и общую сумму перед оплатой - Проверять, что деньги списались  Сейчас заказы часто оплачивают через WB Кошелёк. Спросите у покупателя, есть ли на счёте деньги, прежде чем списать оплату  9. Если нужно на перерыв, повесьте на дверь табличку с номером телефона менеджера, временем начала и окончания перерыва  За рабочий день можно сделать 4 перерыва. Каждый — не больше 15 минут  10. Перед закрытием выдайте последний заказ и подготовьте возвраты:  - Закрыть последний заказ в программе - Собрать отказы, возвраты и невостребованные товары - Отправить отказы клиентов после примерки и возвраты из дома в тот же день - Проверить вкладку «Вещи в офисе». В ней должны отображаться только неизвестные товары: с 2 штрихкодами, излишки и пересорт  Товары, которые доставили в пункт по ошибке, отправляйте на склад вместе с обычными возвратами  11. Приведите в порядок ПВЗ:  - Прибраться в клиентской зоне и на складе - Оставить несколько пустых коробок под возвраты на завтра - Порезать остальные коробки и создать для картона возвратную коробку в программе - Закрыть возвратные коробки в программе - Поставить коробки с картоном и возвратами под камерой  12. Осмотрите и закройте пункт:  - Нет протечек, замыкания или других проблем - Выключить свет - Закрыть дверь"
Что такое ТП?,"Команда Wildberries использует много терминов и аббревиатур. Разберём основные из них, чтобы вам было проще общаться с коллегами и покупателями:  — ТП — торговая площадка. В нашем случае — платформа (маркетплейс) Wildberries.  — ПВЗ — пункт выдачи заказов. Это место, куда покупатели приходят за посылками. Сейчас у нас больше 28 тысяч пунктов по всей России и за пределами страны.  — ШК офиса (ПВЗ) — уникальный штрихкод, который даёт доступ к рабочему интерфейсу NPOS. Его можно посмотреть на ресепшене ПВЗ или уточнить у руководителя. Формат кода: OFFC000000000.  — ID (айди) офиса (ПВЗ) — номер пункта выдачи в системе Wildberries. ID офиса можно посмотреть в левом верхнем углу рабочего интерфейса в программе NPOS. Идентификационный номер помогает быстро и точно определить местоположение ПВЗ. Не забывайте указывать ID офиса, когда будете составлять обращения.  — ID (айди) менеджера — номер вашей учетной записи в системе Wildberries. ID менеджера можно посмотреть в левом верхнем углу рабочего интерфейса, рядом с вашим именем. Не забывайте указывать ID менеджера, когда будете составлять обращения.  — ШК — штрихкод. Он есть на упаковке каждого товара и на приходных коробках. По штрихкоду можно узнать содержимое посылки, адрес отправителя и получателя.  — Стикер — так же, как и штрихкод, помогает узнать информацию о заказе, но с его помощью нельзя искать товар в рабочей системе.  — Баркод — это штрихкод производителя на бирке или упаковке товара. По баркоду можно сверять данные о товаре с информацией, указанной в программе: размер, цвет, бренд и другие характеристики.  — QR-код — это двумерный штрихкод с информацией. QR-код можно расшифровать с помощью сканера или камеры смартфона.  — Волна или волнорез — стеллаж, где хранятся товары.  — Приходная коробка — упаковка, в которой заказы приходят в пункт выдачи. На такой коробке всегда есть QR-код с номером коробки, номером пути и адресом ПВЗ. Обязательно сверяйте адрес, зашифрованный в QR-коде, с фактическим адресом пункта выдачи.  — Невостребованный товар — это товар, который покупатель по какой-то причине не забрал из ПВЗ в течение 12 дней.  — Возвратная коробка — упаковка, в которой невостребованные товары отправляют обратно на склад. Возвратные коробки могут быть разных размеров и форм — все зависит от типа и количества товара.  — Возвратная наклейка — элемент упаковки со штрихкодом и номером коробки. Эти наклейки нужны для того, чтобы возвраты не потерялись в пути.  — Сейф-пакет — специальная упаковка для ювелирных изделий и дорогих гаджетов. Сейф-пакет защищает от кражи и повреждений. На каждом изделии должна быть пломба и бирка с информацией о товаре.","Невозвратный товар надлежащего качества нельзя вернуть или обменять после покупки, но от него можно отказаться при получении.  Такие условия связаны с особыми требованиями к безопасности, гигиеническими стандартами или техническими характеристиками.  От неотказного товара надлежащего качества нельзя отказаться после оформления заказа.  К таким товарам относятся скоропортящиеся продукты и вещи, которые не подлежат возврату из-за требований безопасности или санитарных стандартов."
"Что делать, если нет фирменных пакетов?","Обратитесь к своему руководителю, если возникли проблемы или нестандартные ситуации, такие как:— закончились фирменные пакеты  — вы не знаете пароль от компьютера, не можете подключиться к WiFi  — вы не знаете ШК офиса  — отвязался сканер, возникли сложности с видеонаблюдением или другой техникой  — вы хотите, чтобы вас кто-то подменил на время  — возникли проблемы с ботом-помощником","Чтобы оспорить недостачу и удержание: -Откройте спор в течение 3 дней с того момента, как получили вычет. - Понятно опишите, что произошло. Можно сделать это в самом обращении или приложить документ в формате DOC или DOCX. Файл предварительно добавьте в ту же папку на Яндекс Диске, где будут и остальные материалы. - Убедитесь, что ссылка на Яндекс Диск работает. Не удаляйте папку с материалами, пока спор не закончился. - Пронумеруйте фотографии и видео в хронологическом порядке — так запрос рассмотрят быстрее. - Не откладывайте ответ надолго, если вас попросили прислать дополнительную информацию или материалы. - Соблюдайте правила деловой переписки и не оскорбляйте специалистов."
